TIME_STEP,farms,Natural_Capital,NEWCOMERS,broadband_infrastructure_population_covered,proportion_of_newcomers,shared_knowledge,social_innovation,tourist_visitors,workforce_specialization,INFANTS,ELDERLY_POPULATION,SCHOOL_AGE_POPULATION,POST_SCHOOL_POPULATION,WORKING_AGE_POPULATION,WORKING_AGE_RURAL_POPULATION,total_rural_population,MODEL,scenario,proportion_INFANTS,proportion_ELDERLY_POPULATION,proportion_SCHOOL_AGE_POPULATION,proportion_POST_SCHOOL_POPULATION,proportion_WORKING_AGE_POPULATION,proportion_NEWCOMERS,domain
2030.75,2441.5404534735717,23522.50614697067,96519.34750118828,99.125,0.30814284976800366,1.6327340254555052,0.13293932293959254,1130282.668731382,0.0926208119328922,14227.367187523538,83473.80417875084,31071.68477269004,22657.558442199082,161798.81521876957,161798.81521876957,313229.2297999331,Hame,INFR Focus Broadband,0.04542158213207271,0.2664942995009359,0.09919790944330534,0.07233538982511625,0.5165508190985697,0.30814284976800366,INFR
2031.0,2424.883080333302,23457.370119736657,96609.50437830763,100.0,0.30919258909318403,1.6214778414258522,0.13349863126929404,1120180.8596547123,0.09320492197335123,14188.278490175484,83275.93300580242,30953.311376732054,22560.795102780787,161479.05579808177,161479.05579808177,312457.3737735725,Hame,INFR Focus Broadband,0.04540868509141749,0.2665193399025037,0.09906410913881294,0.07220439329151453,0.5168034725757513,0.30919258909318403,INFR
2031.25,2408.353344726149,23393.016674904477,96688.98083274312,100.0,0.3102194716505248,1.6107391408893563,0.13405871864852376,1110177.7762053567,0.0937829924827496,14149.35624566284,83075.71494640868,30835.807312766978,22463.26433146155,161155.13479997707,161155.13479997707,311679.27763627714,Hame,INFR Focus Broadband,0.04539716709102114,0.26654231098211223,0.09893441600166851,0.07207172867512765,0.5170543772500704,0.3102194716505248,INFR
2031.5,2391.950440813238,23329.430968538076,96758.07248429113,100.0,0.31122613937696325,1.6004258929003312,0.13461724899912444,1100254.3587078017,0.09435480147095811,14110.508210244257,82872.8208583521,30719.019547943994,22365.02971984606,160825.76411620123,160825.76411620123,310893.1424525876,Hame,INFR Focus Broadband,0.04538700371107788,0.2665636823140624,0.09880893256636808,0.0719379962626767,0.5173023851458151,0.31122613937696325,INFR
2031.75,2375.6735390697063,23266.598544261047,96817.31424639546,100.0,0.31221378584343473,1.590509125106678,0.13517386470184947,1090413.7923724686,0.09492043898277719,14071.727357696303,82667.32298370368,30602.963490858718,22266.195732462093,160491.2115253724,160491.2115253724,310099.4210900932,Hame,INFR Focus Broadband,0.04537811553543031,0.2665832870409853,0.09868758665617643,0.07180340954584721,0.5175476012215607,0.31221378584343473,INFR
2032.0,2359.52180517497,23204.505228774113,96867.26384300596,100.0,0.3131836433268113,1.5809619803571116,0.13572824776368309,1080658.8095602314,0.09548000091056925,14033.009134459588,82459.29267059115,30487.656012374944,22166.878215147677,160151.76849871015,160151.76849871015,309298.6045312835,Hame,INFR Focus Broadband,0.045370424983732,0.2666009204779679,0.09857029926978322,0.07166821282216825,0.5177901424463487,0.3131836433268113,INFR
2032.25,2343.494400447509,23143.137163977786,96908.4767426221,100.0,0.3141369300557555,1.5717595394835908,0.13628011212440763,1070991.7314194841,0.09603358531880694,13994.350438783034,82248.80067665526,30373.11356883749,22067.196968873912,159807.7326977406,159807.7326977406,308491.1943508903,Hame,INFR Focus Broadband,0.04536385704048751,0.2666163643656621,0.0984569871848267,0.07153266405320405,0.5180301273558197,0.3141369300557555,INFR
2032.5,2327.5904822079456,23082.48080076614,96941.49000395215,100.0,0.31507481643118057,1.562878668490017,0.1368291983355762,1061414.5063493568,0.09658129011283353,13955.748970252733,82035.91731489426,30259.351082833997,21967.270100069272,159459.39715936055,159459.39715936055,307677.68462741084,Hame,INFR Focus Broadband,0.04535833980664785,0.26662940282535436,0.0983475649833924,0.07139702096585597,0.5182676714187494,0.31507481643118057,INFR
2032.75,2311.8092040870547,23022.52289249382,96966.81256709089,100.0,0.3159984049809455,1.5542978843593982,0.13737526987621776,1051928.7451658312,0.09712321163507182,13917.202830703429,81820.71249929842,30146.3813379801,21867.210006393085,159107.0439975435,159107.0439975435,306858.5506719185,Hame,INFR Focus Broadband,0.04535380487273165,0.26663983232710375,0.09824194656453118,0.07126153062546618,0.5185028856101673,0.3159984049809455,INFR
2033.0,2296.1497162906767,22963.250488260586,96984.92011121598,100.0,0.3169087200449021,1.5459972352637155,0.13791811058202724,1042535.7532430285,0.09765944389090846,13878.710293208698,81603.25573017605,30034.21471551157,21767.120751063092,158750.94110669236,158750.94110669236,306034.2425966518,Hame,INFR Focus Broadband,0.04535018753277428,0.2666474674134026,0.09814004622710205,0.07112642221462717,0.5187358766120939,0.3169087200449021,INFR
2033.25,2280.611165830079,22904.650926116305,96996.25304430572,100.0,0.31780670412789397,1.5379581921310237,0.1384575228138866,1032930.555490206,0.09819007818922686,13840.269680238918,81383.6160460853,29922.859149891345,21667.096546135326,158391.34079832316,158391.34079832316,305205.18222067406,Hame,INFR Focus Broadband,0.04534742686718837,0.26665214349880234,0.0980417794094206,0.07099190252434591,0.5189667477002428,0.31780670412789397,INFR
2033.5,2265.1926967238414,22846.713186262088,97001.21655985065,100.0,0.3186932186435625,1.530163549393119,0.13899332610412152,1022958.4415265197,0.09871520304567487,13801.879310202317,81161.86195998415,29812.3202178373,21567.221078698156,158028.47963365354,158028.47963365354,304371.76220037544,Hame,INFR Focus Broadband,0.04534546572397278,0.2666537177208748,0.09794706316485138,0.07085815360394675,0.5191955997863543,0.3186932186435625,INFR
2033.75,2249.8934497794353,22789.42722817647,97000.1820162827,100.0,0.3195690474582449,1.5225973333676124,0.13952535610186426,1012665.0957845448,0.09923490424373797,13763.537484759208,80938.06141736037,29702.601302518982,21467.567448564325,157662.5789544948,157662.5789544948,303534.3466076977,Hame,INFR Focus Broadband,0.045344250621323794,0.26665206861076773,0.09785581643222749,0.07072533203733294,0.5194225322983479,0.3195690474582449,INFR
2034.0,2234.7125625277904,22732.783091860656,96993.48905403129,100.0,0.3204349019770379,1.5152447171658638,0.14005346369844318,1002092.1493307189,0.09974926498291904,13725.242498741307,80712.28174259914,29593.703794343528,21368.198527437056,157293.8457851632,157293.8457851632,302693.27234828426,Hame,INFR Focus Broadband,0.04534373160084245,0.26664709498310274,0.09776796016890817,0.070593569396714,0.5196476438504325,0.3204349019770379,INFR
2034.25,2219.649169394074,22676.75256687653,96981.4475781481,100.0,0.3212914259211014,1.5081374331558621,0.14057872734217655,991277.5204950579,0.10025836598020209,13686.992638697542,80484.58957311937,29485.627259089128,21269.167502716584,156922.4734901416,156922.4734901416,301848.8504637642,Hame,INFR Focus Broadband,0.04534386206099073,0.2666387148715719,0.09768341742493654,0.07046297333926692,0.519871032303234,0.3212914259211014,INFR
